0.37_0:1:22
0.38_0:1:23
0.35_0:1:24
0.37_0:1:25
0.04_0:1:26
0.02_0:1:27
0.04_0:1:28
0.03_0:1:29
0.01_0:1:30
0.03_0:1:31
0.05_0:1:32
0.05_0:1:33
0.04_0:1:34
0.04_0:1:35
0.03_0:1:36
0.03_0:1:37
0.03_0:1:38
0.02_0:1:39
0.03_0:1:40
-0.00_0:1:41
0.02_0:1:42
0.02_0:1:43
0.06_0:1:44
0.08_0:1:45
0.06_0:1:46
0.04_0:1:47
0.02_0:1:48
0.03_0:1:49
0.06_0:1:50
0.03_0:1:51
0.03_0:1:52
0.05_0:1:53
0.05_0:1:54
0.03_0:1:55
0.03_0:1:56
0.05_0:1:57
0.02_0:1:58
0.03_0:1:59
0.05_0:2:0
0.03_0:2:1
0.04_0:2:2
0.03_0:2:3
0.05_0:2:4
0.07_0:2:5
0.03_0:2:6
0.07_0:2:7
0.04_0:2:8
0.03_0:2:9
0.04_0:2:10
0.05_0:2:10
0.03_0:2:11
0.03_0:2:12
0.08_0:2:13
0.03_0:2:14
0.04_0:2:15
0.05_0:2:16
0.03_0:2:17
0.04_0:2:18
0.04_0:2:19
0.06_0:2:20
-0.00_0:2:21
0.00_0:2:22
0.05_0:2:23
0.08_0:2:24
0.06_0:2:25
-0.05_0:2:26
-0.10_0:2:27
-0.10_0:2:28
-0.09_0:2:29
-0.10_0:2:30
-0.10_0:2:31
-0.02_0:2:32
-0.01_0:2:33
-0.10_0:2:34
-0.10_0:2:35
0.02_0:2:36
-0.00_0:2:37
0.01_0:2:38
0.06_0:2:39
0.07_0:2:40
0.08_0:2:41
0.09_0:2:42
0.11_0:2:43
0.11_0:2:44
0.12_0:2:45
0.11_0:2:46
0.09_0:2:47
0.08_0:2:48
0.09_0:2:49
0.03_0:2:50
0.02_0:2:51
0.02_0:2:52
0.02_0:2:53
0.02_0:2:54
0.02_0:2:55
0.04_0:2:56
0.04_0:2:57
0.03_0:2:58
0.04_0:2:59
0.02_0:3:0
0.03_0:3:1
0.02_0:3:2
0.03_0:3:3
0.03_0:3:4
-0.01_0:3:5
0.01_0:3:6
0.02_0:3:7
0.07_0:3:8
0.09_0:3:9
0.10_0:3:10
0.10_0:3:11
0.09_0:3:12
0.10_0:3:13
0.10_0:3:14
0.12_0:3:15
0.08_0:3:16
0.03_0:3:17
0.05_0:3:17
0.03_0:3:18
0.03_0:3:19
0.07_0:3:20
0.03_0:3:21
0.04_0:3:22
0.06_0:3:23
0.08_0:3:24
0.05_0:3:25
0.05_0:3:26
0.06_0:3:27
0.03_0:3:28
0.05_0:3:29
0.04_0:3:30
0.06_0:3:31
0.03_0:3:32
0.03_0:3:33
0.07_0:3:34
0.04_0:3:35
0.06_0:3:36
0.04_0:3:37
0.05_0:3:38
0.03_0:3:39
0.03_0:3:40
0.05_0:3:41
0.02_0:3:42
0.03_0:3:43
0.05_0:3:44
0.04_0:3:45
0.03_0:3:46
0.03_0:3:47
0.07_0:3:48
0.04_0:3:49
0.03_0:3:50
0.07_0:3:51
0.03_0:3:52
0.03_0:3:53
0.03_0:3:54
0.08_0:3:55
0.03_0:3:56
0.03_0:3:57
0.08_0:3:58
0.04_0:3:59
0.03_0:4:0
0.03_0:4:1
0.06_0:4:2
0.03_0:4:3
0.03_0:4:4
0.10_0:4:5
0.04_0:4:6
0.03_0:4:7
0.04_0:4:8
0.07_0:4:9
0.03_0:4:10
0.03_0:4:11
0.05_0:4:12
0.04_0:4:13
0.04_0:4:14
0.02_0:4:15
0.06_0:4:16
0.02_0:4:17
0.04_0:4:18
0.07_0:4:19
0.04_0:4:20
0.03_0:4:21
0.04_0:4:22
0.06_0:4:23
0.04_0:4:24
0.03_0:4:24
0.04_0:4:25
0.04_0:4:26
0.02_0:4:27
0.05_0:4:28
0.03_0:4:29
0.03_0:4:30
0.03_0:4:31
0.06_0:4:32
0.03_0:4:33
-0.03_0:4:34
-0.10_0:4:35
-0.09_0:4:36
-0.10_0:4:37
-0.09_0:4:38
-0.09_0:4:39
-0.09_0:4:40
-0.10_0:4:41
-0.09_0:4:42
-0.10_0:4:43
-0.09_0:4:44
-0.10_0:4:45
-0.09_0:4:46
-0.09_0:4:47
-0.09_0:4:48
